"ID","URL","Title","Slug","Lang","YoastTitle","YoastDesc","ContentPreview","Parent","Type"
"19","https://enorpa.com/tr/urunler/","Ürünler","urunler",,"","","[vc_row type=&#8221;full_width_background&#8221; full_screen_row_position=&#8221;middle&#8221; column_margin=&#8221;default&#8221; column_direction=&#8221;default&#8221; column_direction_tablet=&#8221;default&#8221; column_direction_phone=&#8221;default&#8221; bg_color=&#8221;#151519&#8243; scene_po...","0","page"
"21","https://enorpa.com/tr/projeler/","Projeler","projeler",,"","","[vc_row type=&#8221;full_width_content&#8221; full_screen_row_position=&#8221;middle&#8221; column_margin=&#8221;default&#8221; column_direction=&#8221;default&#8221; column_direction_tablet=&#8221;default&#8221; column_direction_phone=&#8221;default&#8221; bg_image=&#8221;6141&#8243; bg_position=&#...","0","page"
"25","https://enorpa.com/tr/iletisim/","İletişim","iletisim",,"","","[vc_row type=&#8221;full_width_background&#8221; full_screen_row_position=&#8221;middle&#8221; column_margin=&#8221;default&#8221; column_direction=&#8221;default&#8221; column_direction_tablet=&#8221;default&#8221; column_direction_phone=&#8221;default&#8221; bg_image=&#8221;6141&#8243; bg_position...","0","page"
"5909","https://enorpa.com/tr/","Anasayfa","corporate-3-landing",,"","","[vc_row type=&#8221;full_width_content&#8221; full_screen_row_position=&#8221;middle&#8221; column_margin=&#8221;default&#8221; column_direction=&#8221;default&#8221; column_direction_tablet=&#8221;default&#8221; column_direction_phone=&#8221;default&#8221; scene_position=&#8221;center&#8221; text_c...","0","page"
"6619","https://enorpa.com/tr/hakkimizda/","Hakkımızda","hakkimizda",,"","","[vc_row type=&#8221;full_width_content&#8221; full_screen_row_position=&#8221;middle&#8221; column_margin=&#8221;default&#8221; column_direction=&#8221;default&#8221; column_direction_tablet=&#8221;default&#8221; column_direction_phone=&#8221;default&#8221; bg_image=&#8221;6141&#8243; bg_position=&#...","0","page"
"6808","https://enorpa.com/tr/oniks-serisi/","Oniks Serisi","oniks-serisi",,"","","[vc_row type=&#8221;full_width_background&#8221; full_screen_row_position=&#8221;middle&#8221; column_margin=&#8221;default&#8221; column_direction=&#8221;default&#8221; column_direction_tablet=&#8221;default&#8221; column_direction_phone=&#8221;default&#8221; bg_color=&#8221;#5c6971&#8243; bg_image...","0","page"
"6819","https://enorpa.com/tr/obsidyen-serisi/","Obsidyen Serisi","obsidyen-serisi",,"","","[vc_row type=&#8221;full_width_background&#8221; full_screen_row_position=&#8221;middle&#8221; column_margin=&#8221;default&#8221; column_direction=&#8221;default&#8221; column_direction_tablet=&#8221;default&#8221; column_direction_phone=&#8221;default&#8221; bg_color=&#8221;#5c6971&#8243; bg_image...","0","page"
"6824","https://enorpa.com/tr/akuamarin-serisi/","Akuamarin Serisi &#8211; Sıcak Su Kazanı","akuamarin-serisi",,"","","[vc_row type=&#8221;full_width_background&#8221; full_screen_row_position=&#8221;middle&#8221; column_margin=&#8221;default&#8221; column_direction=&#8221;default&#8221; column_direction_tablet=&#8221;default&#8221; column_direction_phone=&#8221;default&#8221; bg_color=&#8221;#5c6971&#8243; bg_image...","0","page"
"6832","https://enorpa.com/tr/ametist-serisi/","Ametist Serisi &#8211; Sıcak Su Kazanı","ametist-serisi",,"","","[vc_row type=&#8221;full_width_background&#8221; full_screen_row_position=&#8221;middle&#8221; column_margin=&#8221;default&#8221; column_direction=&#8221;default&#8221; column_direction_tablet=&#8221;default&#8221; column_direction_phone=&#8221;default&#8221; bg_color=&#8221;#5c6971&#8243; bg_image...","0","page"
"6837","https://enorpa.com/tr/turkuaz-serisi/","Turkuaz Serisi","turkuaz-serisi",,"","","[vc_row type=&#8221;full_width_background&#8221; full_screen_row_position=&#8221;middle&#8221; column_margin=&#8221;default&#8221; column_direction=&#8221;default&#8221; column_direction_tablet=&#8221;default&#8221; column_direction_phone=&#8221;default&#8221; bg_color=&#8221;#5c6971&#8243; bg_image...","0","page"
